Config file: int value for RUNS_COUNT not found!
Application started: 00:38:31 2020/12/24
Initializing the simulation..
Activating generators...
Running the simulation, please wait.
Added patient to queue, patient: 34
Added patient to queue, patient: 35
Added patient to queue, patient: 36
Added patient to queue, patient: 37
Added patient to queue, patient: 38
Patient is healthy, patient: 8
Patient moved back to basic care, patient: 21
Added patient to queue, patient: 39
Trying to move to intensive care unit..., patient: 4
Trying to move to intensive care unit..., patient: 17
DailyProbability time: 8.0
Patient moved to intensive care unit successfully, patient: 4
Patient died in queue, patient: 22
Patient died in queue, patient: 23
Patient died in queue, patient: 24
Patient died in queue, patient: 25
Patient died in queue, patient: 26
Patient moved to intensive care unit successfully, patient: 17
Trying to move to basic care unit..., patient: 4
Added patient to queue, patient: 40
Added patient to queue, patient: 41
Added patient to queue, patient: 42
Added patient to queue, patient: 43
Added patient to queue, patient: 44
Added patient to queue, patient: 45
Added patient to queue, patient: 46
Trying to move to intensive care unit..., patient: 14
Trying to move to intensive care unit..., patient: 1
Trying to move to intensive care unit..., patient: 6
DailyProbability time: 9.0
Patient moved to intensive care unit successfully, patient: 14
Patient moved back to basic care, patient: 4
Patient moved to intensive care unit successfully, patient: 1
Patient died in basic care... (no free bed in intensive care unit), patient: 6
Patient is healthy, patient: 13
Added patient to queue, patient: 47
Added patient to queue, patient: 48
Added patient to queue, patient: 49
Added patient to queue, patient: 50
Added patient to queue, patient: 51
Added patient to queue, patient: 52
Added patient to queue, patient: 53
Added patient to queue, patient: 54
Added patient to queue, patient: 55
Trying to move to basic care unit..., patient: 15
Added patient to queue, patient: 56
Trying to move to intensive care unit..., patient: 29
Trying to move to intensive care unit..., patient: 27
Trying to move to intensive care unit..., patient: 30
Trying to move to intensive care unit..., patient: 2
DailyProbability time: 10.0
Patient moved to intensive care unit successfully, patient: 29
Patient moved back to basic care, patient: 15
Patient died in basic care... (no free bed in intensive care unit), patient: 27
Patient died in queue, patient: 32
Patient died in queue, patient: 33
Patient died in queue, patient: 34
Patient died in queue, patient: 35
Patient died in queue, patient: 36
Patient died in queue, patient: 37
Patient died in queue, patient: 38
Patient died in queue, patient: 39
Patient died in basic care... (no free bed in intensive care unit), patient: 30
Patient died in basic care... (no free bed in intensive care unit), patient: 2
Added patient to queue, patient: 57
Added patient to queue, patient: 58
Trying to move to intensive care unit..., patient: 21
Trying to move to intensive care unit..., patient: 31
DailyProbability time: 11.0
Patient moved to intensive care unit successfully, patient: 21
Patient died in queue, patient: 43
Patient died in queue, patient: 44
Patient died in queue, patient: 45
Patient died in queue, patient: 46
Patient died in basic care... (no free bed in intensive care unit), patient: 31
Added patient to queue, patient: 59
Added patient to queue, patient: 60
Added patient to queue, patient: 61
Patient is healthy, patient: 18
Patient died in queue, patient: 49
Patient died in queue, patient: 50
Patient died in queue, patient: 51
Trying to move to basic care unit..., patient: 29
Trying to move to intensive care unit..., patient: 4
Trying to move to intensive care unit..., patient: 15
Trying to move to intensive care unit..., patient: 9
DailyProbability time: 12.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4
Patient moved back to basic care, patient: 29
Patient died in basic care... (no free bed in intensive care unit), patient: 15
Patient died in queue, patient: 53
Patient died in queue, patient: 54
Patient died in queue, patient: 55
Patient died in queue, patient: 56
Patient died in basic care... (no free bed in intensive care unit), patient: 9
Added patient to queue, patient: 62
Added patient to queue, patient: 63
Added patient to queue, patient: 64
Added patient to queue, patient: 65
Added patient to queue, patient: 66
Added patient to queue, patient: 67
Added patient to queue, patient: 68
Trying to move to intensive care unit..., patient: 41
DailyProbability time: 13.0
Patient moved to intensive care unit successfully, patient: 41
Added patient to queue, patient: 69
Trying to move to basic care unit..., patient: 14
Added patient to queue, patient: 70
Added patient to queue, patient: 71
Added patient to queue, patient: 72
Added patient to queue, patient: 73
Trying to move to intensive care unit..., patient: 29
Trying to move to intensive care unit..., patient: 59
Trying to move to intensive care unit..., patient: 47
Trying to move to intensive care unit..., patient: 48
Trying to move to intensive care unit..., patient: 28
DailyProbability time: 14.0
Patient died in basic care... (no free bed in intensive care unit), patient: 29
Patient moved back to basic care, patient: 14
Patient died in basic care... (no free bed in intensive care unit), patient: 59
Patient died in queue, patient: 60
Patient died in queue, patient: 61
Patient died in basic care... (no free bed in intensive care unit), patient: 47
Patient died in basic care... (no free bed in intensive care unit), patient: 48
Patient died in basic care... (no free bed in intensive care unit), patient: 28
Added patient to queue, patient: 74
Added patient to queue, patient: 75
Trying to move to basic care unit..., patient: 21
Added patient to queue, patient: 76
Added patient to queue, patient: 77
Added patient to queue, patient: 78
Trying to move to intensive care unit..., patient: 63
DailyProbability time: 15.0
Patient moved to intensive care unit successfully, patient: 63
Patient moved back to basic care, patient: 21
Patient died on intensive care, patient: 41
Added patient to queue, patient: 79
Added patient to queue, patient: 80
Added patient to queue, patient: 81
Added patient to queue, patient: 82
Trying to move to intensive care unit..., patient: 14
Trying to move to intensive care unit..., patient: 64
DailyProbability time: 16.0
Patient moved to intensive care unit successfully, patient: 14
Patient died in queue, patient: 66
Patient died in queue, patient: 67
Patient died in queue, patient: 68
Patient died in queue, patient: 69
Patient died in queue, patient: 70
Patient died in queue, patient: 71
Patient died in queue, patient: 72
Patient died in queue, patient: 73
Patient moved to intensive care unit successfully, patient: 64
Added patient to queue, patient: 83
Patient is healthy, patient: 40
Patient died in queue, patient: 76
Added patient to queue, patient: 84
Patient is healthy, patient: 42
Added patient to queue, patient: 85
Trying to move to intensive care unit..., patient: 74
DailyProbability time: 17.0
Patient died in basic care... (no free bed in intensive care unit), patient: 74
Added patient to queue, patient: 86
Added patient to queue, patient: 87
Added patient to queue, patient: 88
Added patient to queue, patient: 89
Added patient to queue, patient: 90
Added patient to queue, patient: 91
Trying to move to intensive care unit..., patient: 78
DailyProbability time: 18.0
Patient died in basic care... (no free bed in intensive care unit), patient: 78
Patient died in queue, patient: 80
Patient died in queue, patient: 81
Patient died in queue, patient: 82
Added patient to queue, patient: 92
Patient is healthy, patient: 58
Added patient to queue, patient: 93
Added patient to queue, patient: 94
Patient is healthy, patient: 52
Patient is healthy, patient: 57
Trying to move to basic care unit..., patient: 1
Added patient to queue, patient: 95
Added patient to queue, patient: 96
Trying to move to intensive care unit..., patient: 62
Trying to move to intensive care unit..., patient: 21
DailyProbability time: 19.0
Patient died in basic care... (no free bed in intensive care unit), patient: 62
Patient moved back to basic care, patient: 1
Patient died in basic care... (no free bed in intensive care unit), patient: 21
Trying to move to basic care unit..., patient: 63
Added patient to queue, patient: 97
Added patient to queue, patient: 98
Added patient to queue, patient: 99
Added patient to queue, patient: 100
Added patient to queue, patient: 101
Added patient to queue, patient: 102
Added patient to queue, patient: 103
Trying to move to intensive care unit..., patient: 84
DailyProbability time: 20.0
Patient moved to intensive care unit successfully, patient: 84
Patient moved back to basic care, patient: 63
Patient is healthy, patient: 65
Patient died in queue, patient: 88
Patient died in queue, patient: 89
Patient died in queue, patient: 90
Patient died in queue, patient: 91
Patient died in queue, patient: 92
Patient died in queue, patient: 93
Added patient to queue, patient: 104
Added patient to queue, patient: 105
Added patient to queue, patient: 106
Added patient to queue, patient: 107
Added patient to queue, patient: 108
Added patient to queue, patient: 109
Added patient to queue, patient: 110
Trying to move to basic care unit..., patient: 64
Trying to move to intensive care unit..., patient: 85
DailyProbability time: 21.0
Patient moved to intensive care unit successfully, patient: 85
Patient moved back to basic care, patient: 64
Added patient to queue, patient: 111
Added patient to queue, patient: 112
Added patient to queue, patient: 113
Added patient to queue, patient: 114
Added patient to queue, patient: 115
Added patient to queue, patient: 116
Added patient to queue, patient: 117
Trying to move to basic care unit..., patient: 14
Trying to move to intensive care unit..., patient: 79
Trying to move to intensive care unit..., patient: 86
Trying to move to intensive care unit..., patient: 77
Trying to move to intensive care unit..., patient: 64
Trying to move to intensive care unit..., patient: 94
DailyProbability time: 22.0
Patient moved to intensive care unit successfully, patient: 79
Patient moved back to basic care, patient: 14
Patient died in basic care... (no free bed in intensive care unit), patient: 86
Patient died in queue, patient: 95
Patient died in queue, patient: 96
Patient died in queue, patient: 97
Patient died in queue, patient: 98
Patient died in queue, patient: 99
Patient died in queue, patient: 100
Patient died in queue, patient: 101
Patient died in queue, patient: 102
Patient died in queue, patient: 103
Patient died in basic care... (no free bed in intensive care unit), patient: 77
Patient died in basic care... (no free bed in intensive care unit), patient: 64
Patient died in basic care... (no free bed in intensive care unit), patient: 94
Added patient to queue, patient: 118
Added patient to queue, patient: 119
Added patient to queue, patient: 120
Patient is healthy, patient: 75
Added patient to queue, patient: 121
Added patient to queue, patient: 122
Trying to move to intensive care unit..., patient: 108
Trying to move to intensive care unit..., patient: 107
DailyProbability time: 23.0
Patient moved to intensive care unit successfully, patient: 108
Patient died in queue, patient: 109
Patient died in queue, patient: 110
Patient died in basic care... (no free bed in intensive care unit), patient: 107
Added patient to queue, patient: 123
Added patient to queue, patient: 124
Added patient to queue, patient: 125
Added patient to queue, patient: 126
Added patient to queue, patient: 127
Added patient to queue, patient: 128
Trying to move to basic care unit..., patient: 85
Added patient to queue, patient: 129
Added patient to queue, patient: 130
Added patient to queue, patient: 131
Added patient to queue, patient: 132
Trying to move to intensive care unit..., patient: 14
Trying to move to intensive care unit..., patient: 105
DailyProbability time: 24.0
Patient died in basic care... (no free bed in intensive care unit), patient: 14
Patient moved back to basic care, patient: 85
Patient died in basic care... (no free bed in intensive care unit), patient: 105
Patient died in queue, patient: 113
Patient died in queue, patient: 114
Patient died in queue, patient: 115
Patient died in queue, patient: 116
Patient died in queue, patient: 117
Trying to move to basic care unit..., patient: 79
Added patient to queue, patient: 133
Patient is healthy, patient: 83
Patient moved back to basic care, patient: 79
Trying to move to basic care unit..., patient: 17
Added patient to queue, patient: 134
Added patient to queue, patient: 135
Added patient to queue, patient: 136
Trying to move to intensive care unit..., patient: 85
Trying to move to intensive care unit..., patient: 104
Trying to move to intensive care unit..., patient: 118
Trying to move to intensive care unit..., patient: 1
Trying to move to intensive care unit..., patient: 63
Trying to move to intensive care unit..., patient: 87
DailyProbability time: 25.0
Patient moved to intensive care unit successfully, patient: 85
Patient moved back to basic care, patient: 17
Patient moved to intensive care unit successfully, patient: 104
Patient died in queue, patient: 119
Patient died in queue, patient: 120
Patient died in queue, patient: 121
Patient died in queue, patient: 122
Patient died in basic care... (no free bed in intensive care unit), patient: 118
Patient died in basic care... (no free bed in intensive care unit), patient: 1
Patient died in basic care... (no free bed in intensive care unit), patient: 63
Patient died in basic care... (no free bed in intensive care unit), patient: 87
Added patient to queue, patient: 137
Added patient to queue, patient: 138
Trying to move to basic care unit..., patient: 85
Added patient to queue, patient: 139
Added patient to queue, patient: 140
Trying to move to intensive care unit..., patient: 123
Trying to move to intensive care unit..., patient: 124
Trying to move to intensive care unit..., patient: 106
Trying to move to intensive care unit..., patient: 111
Trying to move to intensive care unit..., patient: 79
DailyProbability time: 26.0
Patient moved to intensive care unit successfully, patient: 123
Patient moved back to basic care, patient: 85
Patient died in basic care... (no free bed in intensive care unit), patient: 124
Patient died in queue, patient: 128
Patient died in queue, patient: 129
Patient died in queue, patient: 130
Patient died in queue, patient: 131
Patient died in queue, patient: 132
Patient died in basic care... (no free bed in intensive care unit), patient: 106
Patient died in basic care... (no free bed in intensive care unit), patient: 111
Patient died in basic care... (no free bed in intensive care unit), patient: 79
Added patient to queue, patient: 141
Trying to move to basic care unit..., patient: 123
Added patient to queue, patient: 142
Added patient to queue, patient: 143
Trying to move to intensive care unit..., patient: 112
DailyProbability time: 27.0
Patient moved to intensive care unit successfully, patient: 112
Patient moved back to basic care, patient: 123
Added patient to queue, patient: 144
Added patient to queue, patient: 145
Added patient to queue, patient: 146
Added patient to queue, patient: 147
Added patient to queue, patient: 148
Added patient to queue, patient: 149
Added patient to queue, patient: 150
Added patient to queue, patient: 151
Trying to move to intensive care unit..., patient: 127
Trying to move to intensive care unit..., patient: 123
DailyProbability time: 28.0
Patient moved to intensive care unit successfully, patient: 127
Patient died in queue, patient: 137
Patient died in queue, patient: 138
Patient died in queue, patient: 139
Patient died in queue, patient: 140
Patient died in basic care... (no free bed in intensive care unit), patient: 123
Trying to move to basic care unit..., patient: 127
Added patient to queue, patient: 152
Added patient to queue, patient: 153
Added patient to queue, patient: 154
Added patient to queue, patient: 155
Trying to move to intensive care unit..., patient: 17
Trying to move to intensive care unit..., patient: 133
Trying to move to intensive care unit..., patient: 141
DailyProbability time: 29.0
Patient died in basic care... (no free bed in intensive care unit), patient: 17
Patient moved back to basic care, patient: 127
Patient died in basic care... (no free bed in intensive care unit), patient: 133
Patient died in queue, patient: 143
Patient died in basic care... (no free bed in intensive care unit), patient: 141
Trying to move to basic care unit..., patient: 112
Added patient to queue, patient: 156
Added patient to queue, patient: 157
Trying to move to basic care unit..., patient: 104
Trying to move to intensive care unit..., patient: 144
Trying to move to intensive care unit..., patient: 125
Trying to move to intensive care unit..., patient: 134
DailyProbability time: 30.0
Patient moved to intensive care unit successfully, patient: 144
Patient moved back to basic care, patient: 112
Patient died in basic care... (no free bed in intensive care unit), patient: 125
Patient moved back to basic care, patient: 104
Patient died in basic care... (no free bed in intensive care unit), patient: 134
Patient died in queue, patient: 146
Patient died in queue, patient: 147
Patient died in queue, patient: 148
Patient died in queue, patient: 149
Patient died in queue, patient: 150
Patient died in queue, patient: 151
Added patient to queue, patient: 158
Added patient to queue, patient: 159
Added patient to queue, patient: 160
Trying to move to basic care unit..., patient: 144
Added patient to queue, patient: 161
Added patient to queue, patient: 162
Added patient to queue, patient: 163
Added patient to queue, patient: 164
Added patient to queue, patient: 165
Trying to move to intensive care unit..., patient: 127
DailyProbability time: 31.0
Patient moved to intensive care unit successfully, patient: 127
Patient moved back to basic care, patient: 144
Patient died on basic care, patient: 135
Patient died in queue, patient: 153
Patient died in queue, patient: 154
Patient died in queue, patient: 155
Added patient to queue, patient: 166
Patient is healthy, patient: 126
Patient died in queue, patient: 157
Added patient to queue, patient: 167
Added patient to queue, patient: 168
Trying to move to intensive care unit..., patient: 104
Trying to move to intensive care unit..., patient: 145
DailyProbability time: 32.0
Patient moved to intensive care unit successfully, patient: 104
Patient moved to intensive care unit successfully, patient: 145
Added patient to queue, patient: 169
Patient is healthy, patient: 85
Added patient to queue, patient: 170
Added patient to queue, patient: 171
Added patient to queue, patient: 172
Added patient to queue, patient: 173
Added patient to queue, patient: 174
Added patient to queue, patient: 175
Added patient to queue, patient: 176
Trying to move to basic care unit..., patient: 104
Patient is healthy, patient: 136
Patient moved back to basic care, patient: 104
Added patient to queue, patient: 177
Added patient to queue, patient: 178
DailyProbability time: 33.0
Patient died on basic care, patient: 158
Patient died in queue, patient: 162
Patient died in queue, patient: 163
Patient died in queue, patient: 164
Patient died in queue, patient: 165
Trying to move to basic care unit..., patient: 84
Added patient to queue, patient: 179
Added patient to queue, patient: 180
Added patient to queue, patient: 181
Trying to move to intensive care unit..., patient: 166
Trying to move to intensive care unit..., patient: 156
Trying to move to intensive care unit..., patient: 142
DailyProbability time: 34.0
Patient moved to intensive care unit successfully, patient: 166
Patient moved back to basic care, patient: 84
Patient died in basic care... (no free bed in intensive care unit), patient: 156
Patient died in queue, patient: 167
Patient died in queue, patient: 168
Patient died in basic care... (no free bed in intensive care unit), patient: 142
Added patient to queue, patient: 182
Added patient to queue, patient: 183
Trying to move to basic care unit..., patient: 127
Trying to move to basic care unit..., patient: 145
Added patient to queue, patient: 184
Trying to move to intensive care unit..., patient: 159
Trying to move to intensive care unit..., patient: 84
DailyProbability time: 35.0
Patient moved to intensive care unit successfully, patient: 159
Patient moved back to basic care, patient: 127
Patient died in basic care... (no free bed in intensive care unit), patient: 84
Patient moved back to basic care, patient: 145
Added patient to queue, patient: 185
Trying to move to intensive care unit..., patient: 161
Trying to move to intensive care unit..., patient: 152
Trying to move to intensive care unit..., patient: 104
DailyProbability time: 36.0
Patient moved to intensive care unit successfully, patient: 161
Patient died in queue, patient: 171
Patient died in queue, patient: 172
Patient died in queue, patient: 173
Patient died in queue, patient: 174
Patient died in queue, patient: 175
Patient died in queue, patient: 176
Patient died in queue, patient: 177
Patient died in queue, patient: 178
Patient died in queue, patient: 179
Patient died in queue, patient: 180
Patient died in queue, patient: 181
Patient moved to intensive care unit successfully, patient: 152
Patient died in basic care... (no free bed in intensive care unit), patient: 104
Added patient to queue, patient: 186
Added patient to queue, patient: 187
Trying to move to basic care unit..., patient: 161
Patient is healthy, patient: 112
Patient moved back to basic care, patient: 161
Added patient to queue, patient: 188
Added patient to queue, patient: 189
Trying to move to intensive care unit..., patient: 160
Trying to move to intensive care unit..., patient: 170
DailyProbability time: 37.0
Patient moved to intensive care unit successfully, patient: 160
Patient died in basic care... (no free bed in intensive care unit), patient: 170
Added patient to queue, patient: 190
Added patient to queue, patient: 191
Added patient to queue, patient: 192
Patient is healthy, patient: 144
DailyProbability time: 38.0
Added patient to queue, patient: 193
Added patient to queue, patient: 194
Added patient to queue, patient: 195
Added patient to queue, patient: 196
Trying to move to intensive care unit..., patient: 182
Trying to move to intensive care unit..., patient: 184
DailyProbability time: 39.0
Patient died in basic care... (no free bed in intensive care unit), patient: 182
Patient died in queue, patient: 188
Patient died in queue, patient: 189
Patient died in basic care... (no free bed in intensive care unit), patient: 184
Added patient to queue, patient: 197
Trying to move to basic care unit..., patient: 160
Added patient to queue, patient: 198
Trying to move to basic care unit..., patient: 166
Trying to move to basic care unit..., patient: 108
Added patient to queue, patient: 199
Added patient to queue, patient: 200
Trying to move to intensive care unit..., patient: 187
Trying to move to intensive care unit..., patient: 161
DailyProbability time: 40.0
Patient died in basic care... (no free bed in intensive care unit), patient: 187
Patient moved back to basic care, patient: 160
Patient died in basic care... (no free bed in intensive care unit), patient: 161
Patient moved back to basic care, patient: 166
Added patient to queue, patient: 201
Patient is healthy, patient: 169
Patient moved back to basic care, patient: 108
Added patient to queue, patient: 202
Added patient to queue, patient: 203
Added patient to queue, patient: 204
Added patient to queue, patient: 205
Added patient to queue, patient: 206
Added patient to queue, patient: 207
Trying to move to intensive care unit..., patient: 145
Trying to move to intensive care unit..., patient: 191
DailyProbability time: 41.0
Patient moved to intensive care unit successfully, patient: 145
Patient died in queue, patient: 192
Patient died in queue, patient: 193
Patient died in queue, patient: 194
Patient died in queue, patient: 195
Patient died in queue, patient: 196
Patient moved to intensive care unit successfully, patient: 191
Added patient to queue, patient: 208
Added patient to queue, patient: 209
Trying to move to basic care unit..., patient: 152
Added patient to queue, patient: 210
Added patient to queue, patient: 211
Added patient to queue, patient: 212
Patient is healthy, patient: 127
Patient moved back to basic care, patient: 152
Added patient to queue, patient: 213
Added patient to queue, patient: 214
Trying to move to intensive care unit..., patient: 160
Trying to move to intensive care unit..., patient: 185
DailyProbability time: 42.0
Patient moved to intensive care unit successfully, patient: 160
Patient died in queue, patient: 199
Patient died in queue, patient: 200
Patient moved to intensive care unit successfully, patient: 185
Added patient to queue, patient: 215
Added patient to queue, patient: 216
Added patient to queue, patient: 217
Patient is healthy, patient: 183
Patient died in queue, patient: 203
Patient died in queue, patient: 204
Added patient to queue, patient: 218
Trying to move to intensive care unit..., patient: 201
Trying to move to intensive care unit..., patient: 190
Trying to move to intensive care unit..., patient: 166
Trying to move to intensive care unit..., patient: 108
DailyProbability time: 43.0
Patient died in basic care... (no free bed in intensive care unit), patient: 201
Patient died in queue, patient: 206
Patient died in queue, patient: 207
Patient died in basic care... (no free bed in intensive care unit), patient: 190
Patient died in basic care... (no free bed in intensive care unit), patient: 166
Patient died in basic care... (no free bed in intensive care unit), patient: 108
Added patient to queue, patient: 219
Patient is healthy, patient: 186
Patient died in queue, patient: 212
Added patient to queue, patient: 220
Trying to move to basic care unit..., patient: 145
Added patient to queue, patient: 221
Added patient to queue, patient: 222
Added patient to queue, patient: 223
Added patient to queue, patient: 224
Added patient to queue, patient: 225
Trying to move to intensive care unit..., patient: 152
DailyProbability time: 44.0
Patient died in basic care... (no free bed in intensive care unit), patient: 152
Patient moved back to basic care, patient: 145
Trying to move to basic care unit..., patient: 159
Added patient to queue, patient: 226
Added patient to queue, patient: 227
Added patient to queue, patient: 228
Added patient to queue, patient: 229
DailyProbability time: 45.0
Added patient to queue, patient: 230
Added patient to queue, patient: 231
Added patient to queue, patient: 232
Added patient to queue, patient: 233
Added patient to queue, patient: 234
Trying to move to intensive care unit..., patient: 209
Trying to move to intensive care unit..., patient: 145
Trying to move to intensive care unit..., patient: 202
DailyProbability time: 46.0
Patient moved to intensive care unit successfully, patient: 209
Patient moved back to basic care, patient: 159
Patient died in basic care... (no free bed in intensive care unit), patient: 145
Patient died in queue, patient: 214
Patient died in queue, patient: 215
Patient died in queue, patient: 216
Patient died in queue, patient: 217
Patient died in queue, patient: 218
Patient died in queue, patient: 219
Patient died in queue, patient: 220
Patient died in queue, patient: 221
Patient died in queue, patient: 222
Patient died in queue, patient: 223
Patient died in queue, patient: 224
Patient died in queue, patient: 225
Patient died in basic care... (no free bed in intensive care unit), patient: 202
Added patient to queue, patient: 235
Added patient to queue, patient: 236
Added patient to queue, patient: 237
Added patient to queue, patient: 238
Added patient to queue, patient: 239
Added patient to queue, patient: 240
Added patient to queue, patient: 241
Added patient to queue, patient: 242
Trying to move to intensive care unit..., patient: 205
Trying to move to intensive care unit..., patient: 213
DailyProbability time: 47.0
Patient moved to intensive care unit successfully, patient: 205
Patient died in queue, patient: 228
Patient died in queue, patient: 229
Patient died in basic care... (no free bed in intensive care unit), patient: 213
Added patient to queue, patient: 243
Added patient to queue, patient: 244
Added patient to queue, patient: 245
Added patient to queue, patient: 246
Added patient to queue, patient: 247
Added patient to queue, patient: 248
Added patient to queue, patient: 249
Patient is healthy, patient: 197
Patient is healthy, patient: 198
Added patient to queue, patient: 250
Added patient to queue, patient: 251
Trying to move to intensive care unit..., patient: 210
Trying to move to intensive care unit..., patient: 226
Trying to move to intensive care unit..., patient: 227
Trying to move to intensive care unit..., patient: 230
Trying to move to intensive care unit..., patient: 211
Trying to move to intensive care unit..., patient: 233
DailyProbability time: 48.0
Patient died in basic care... (no free bed in intensive care unit), patient: 210
Patient died in queue, patient: 234
Patient died in basic care... (no free bed in intensive care unit), patient: 226
Patient died in basic care... (no free bed in intensive care unit), patient: 227
Patient died in basic care... (no free bed in intensive care unit), patient: 230
Patient died in basic care... (no free bed in intensive care unit), patient: 211
Patient died in basic care... (no free bed in intensive care unit), patient: 233
Added patient to queue, patient: 252
Added patient to queue, patient: 253
Added patient to queue, patient: 254
Trying to move to basic care unit..., patient: 160
Trying to move to intensive care unit..., patient: 237
Trying to move to intensive care unit..., patient: 231
DailyProbability time: 49.0
Patient died in basic care... (no free bed in intensive care unit), patient: 237
Patient moved back to basic care, patient: 160
Patient died in basic care... (no free bed in intensive care unit), patient: 231
Patient died in queue, patient: 241
Patient died in queue, patient: 242
Trying to move to basic care unit..., patient: 185
Added patient to queue, patient: 255
Patient is healthy, patient: 208
Patient moved back to basic care, patient: 185
Added patient to queue, patient: 256
Added patient to queue, patient: 257
Added patient to queue, patient: 258
DailyProbability time: 50.0
Added patient to queue, patient: 259
Added patient to queue, patient: 260
Trying to move to basic care unit..., patient: 205
Trying to move to basic care unit..., patient: 209
Added patient to queue, patient: 261
Added patient to queue, patient: 262
Added patient to queue, patient: 263
Trying to move to intensive care unit..., patient: 159
Trying to move to intensive care unit..., patient: 235
Trying to move to intensive care unit..., patient: 236
Trying to move to intensive care unit..., patient: 240
DailyProbability time: 51.0
Patient moved to intensive care unit successfully, patient: 159
Patient moved back to basic care, patient: 205
Patient moved to intensive care unit successfully, patient: 235
Patient moved back to basic care, patient: 209
Patient died in basic care... (no free bed in intensive care unit), patient: 236
Patient died in queue, patient: 244
Patient died in queue, patient: 245
Patient died in queue, patient: 246
Patient died in queue, patient: 247
Patient died in queue, patient: 248
Patient died in queue, patient: 249
Patient died in queue, patient: 250
Patient died in queue, patient: 251
Patient died in queue, patient: 252
Patient died in queue, patient: 253
Patient died in queue, patient: 254
Patient died in basic care... (no free bed in intensive care unit), patient: 240
Added patient to queue, patient: 264
Added patient to queue, patient: 265
Added patient to queue, patient: 266
Added patient to queue, patient: 267
Added patient to queue, patient: 268
Trying to move to intensive care unit..., patient: 239
DailyProbability time: 52.0
Patient moved to intensive care unit successfully, patient: 239
Patient died in queue, patient: 257
Patient died in queue, patient: 258
Added patient to queue, patient: 269
Added patient to queue, patient: 270
Added patient to queue, patient: 271
Added patient to queue, patient: 272
Added patient to queue, patient: 273
Added patient to queue, patient: 274
Added patient to queue, patient: 275
Added patient to queue, patient: 276
Trying to move to intensive care unit..., patient: 205
Trying to move to intensive care unit..., patient: 238
DailyProbability time: 53.0
Patient moved to intensive care unit successfully, patient: 205
Patient died in queue, patient: 260
Patient died in queue, patient: 261
Patient died in queue, patient: 262
Patient died in queue, patient: 263
Patient died in basic care... (no free bed in intensive care unit), patient: 238
Patient died on intensive care, patient: 159
Added patient to queue, patient: 277
Trying to move to basic care unit..., patient: 191
Added patient to queue, patient: 278
Added patient to queue, patient: 279
Added patient to queue, patient: 280
